directors,popularity,stars,title,writers
James Mangold,128,"Hugh Jackman,Patrick Stewart,Dafne Keen",Logan,"James Mangold,Scott Frank"
Lasse Hallström,,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",Hachi: A Dog's Tale,"Stephen P. Lindsey,Kaneto Shindô"
Alejandro G. Iñárritu,"3,431","Emilio Echevarría,Gael García Bernal,Goya Toledo",Amores Perros,Guillermo Arriaga
Peter Weir,805,"Jim Carrey,Ed Harris,Laura Linney",The Truman Show,Andrew Niccol
Joon-ho Bong,"2,967","Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",Memories of Murder,"Joon-ho Bong,Kwang-rim Kim"
Steven Spielberg,260,"Sam Neill,Laura Dern,Jeff Goldblum",Jurassic Park,"Michael Crichton,Michael Crichton"
Ron Howard,840,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",Rush,Peter Morgan
George Miller,207,"Tom Hardy,Charlize Theron,Nicholas Hoult",Mad Max: Fury Road,"George Miller,Brendan McCarthy"
Andrei Tarkovsky,,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",Stalker,"Arkadiy Strugatskiy,Boris Strugatskiy"
Terry George,"2,815","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",Hotel Rwanda,"Keir Pearson,Terry George"
Wes Anderson,232,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",The Grand Budapest Hotel,"Stefan Zweig,Wes Anderson"
Oliver Stone,"1,319","Charlie Sheen,Tom Berenger,Willem Dafoe",Platoon,Oliver Stone
Rob Reiner,397,"Wil Wheaton,River Phoenix,Corey Feldman",Stand by Me,"Stephen King,Raynold Gideon"
Terry Jones,"1,359","Graham Chapman,John Cleese,Michael Palin",Life of Brian,"Graham Chapman,John Cleese"
Andrei Tarkovsky,,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",Andrei Rublev,"Andrey Konchalovskiy,Andrei Tarkovsky"
Damián Szifron,"1,501","Darío Grandinetti,María Marull,Mónica Villa",Wild Tales,"Germán Servidio,Damián Szifron"
Denis Villeneuve,48,"Harrison Ford,Ryan Gosling,Ana de Armas",Blade Runner 2049,"Hampton Fancher,Michael Green"
"Dean DeBlois,Chris Sanders",964,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",How to Train Your Dragon,"William Davies,Dean DeBlois"
Adam Elliot,,"Toni Collette,Philip Seymour Hoffman,Eric Bana",Mary and Max,Adam Elliot
Mel Gibson,203,"Andrew Garfield,Sam Worthington,Luke Bracey",Hacksaw Ridge,"Robert Schenkkan,Andrew Knight"
Martin Scorsese,536,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",Shutter Island,"Laeta Kalogridis,Dennis Lehane"
Elem Klimov,,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",Come and See,"Ales Adamovich,Ales Adamovich"
"Joel Coen,Ethan Coen",503,"Jeff Bridges,John Goodman,Julianne Moore",The Big Lebowski,"Ethan Coen,Joel Coen"
"Joel Coen,Ethan Coen",477,"William H. Macy,Frances McDormand,Steve Buscemi",Fargo,"Ethan Coen,Joel Coen"
M. Night Shyamalan,707,"Bruce Willis,Haley Joel Osment,Toni Collette",The Sixth Sense,M. Night Shyamalan
Clint Eastwood,"1,411","Clint Eastwood,Bee Vang,Christopher Carley",Gran Torino,"Nick Schenk,Dave Johannson"
"Andrew Stanton,Lee Unkrich",687,"Albert Brooks,Ellen DeGeneres,Alexander Gould",Finding Nemo,"Andrew Stanton,Andrew Stanton"
Alfred Hitchcock,,"Laurence Olivier,Joan Fontaine,George Sanders",Rebecca,"Daphne Du Maurier,Robert E. Sherwood"
Danny Boyle,604,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",Trainspotting,"Irvine Welsh,John Hodge"
Paul Thomas Anderson,525,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",There Will Be Blood,"Paul Thomas Anderson,Upton Sinclair"
Gavin O'Connor,785,"Tom Hardy,Nick Nolte,Joel Edgerton",Warrior,"Gavin O'Connor,Anthony Tambakis"
Ridley Scott,189,"Harrison Ford,Rutger Hauer,Sean Young",Blade Runner,"Hampton Fancher,David Webb Peoples"
"Victor Fleming,George Cukor",485,"Clark Gable,Vivien Leigh,Thomas Mitchell",Gone with the Wind,"Margaret Mitchell,Sidney Howard"
Ron Howard,721,"Russell Crowe,Ed Harris,Jennifer Connelly",A Beautiful Mind,"Akiva Goldsman,Sylvia Nasar"
Martin Scorsese,487,"Robert De Niro,Sharon Stone,Joe Pesci",Casino,"Nicholas Pileggi,Nicholas Pileggi"
David Lean,"2,756","William Holden,Alec Guinness,Jack Hawkins",The Bridge on the River Kwai,"Pierre Boulle,Carl Foreman"
Hayao Miyazaki,"1,269","Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",Howl's Moving Castle,"Hayao Miyazaki,Diana Wynne Jones"
David Lynch,,"Anthony Hopkins,John Hurt,Anne Bancroft",The Elephant Man,"Christopher De Vore,Eric Bergren"
Denis Villeneuve,"1,590","Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",Incendies,"Denis Villeneuve,Wajdi Mouawad"
Roman Polanski,"2,028","Jack Nicholson,Faye Dunaway,John Huston",Chinatown,Robert Towne
Guillermo del Toro,364,"Ivana Baquero,Ariadna Gil,Sergi López",Pan's Labyrinth,Guillermo del Toro
Akira Kurosawa,"3,057","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",Ran,"Akira Kurosawa,Hideo Oguni"
Carol Reed,,"Orson Welles,Joseph Cotten,Alida Valli",The Third Man,"Graham Greene,Graham Greene"
Martin McDonagh,28,"Frances McDormand,Woody Harrelson,Sam Rockwell","Three Billboards Outside Ebbing, Missouri",Martin McDonagh
John Sturges,"1,443","Steve McQueen,James Garner,Richard Attenborough",The Great Escape,"Paul Brickhill,James Clavell"
Oliver Hirschbiegel,"1,110","Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",Downfall,"Bernd Eichinger,Joachim Fest"
Christopher Nolan,422,"Christian Bale,Michael Caine,Ken Watanabe",Batman Begins,"Bob Kane,David S. Goyer"
Joseph L. Mankiewicz,"2,870","Bette Davis,Anne Baxter,George Sanders",All About Eve,Joseph L. Mankiewicz
"Pete Docter,Bob Peterson",436,"Edward Asner,Jordan Nagai,John Ratzenberger",Up,"Pete Docter,Bob Peterson"
Steven Spielberg,560,"Harrison Ford,Sean Connery,Alison Doody",Indiana Jones and the Last Crusade,"Jeffrey Boam,George Lucas"
Asghar Farhadi,"2,472","Payman Maadi,Leila Hatami,Sareh Bayat",A Separation,Asghar Farhadi
Curtis Hanson,512,"Kevin Spacey,Russell Crowe,Guy Pearce",L.A. Confidential,"James Ellroy,Brian Helgeland"
Akira Kurosawa,,"Toshirô Mifune,Machiko Kyô,Masayuki Mori",Rashomon,"Ryûnosuke Akutagawa,Akira Kurosawa"
Hayao Miyazaki,"1,540","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",My Neighbor Totoro,Hayao Miyazaki
Fritz Lang,"2,463","Brigitte Helm,Alfred Abel,Gustav Fröhlich",Metropolis,"Thea von Harbou,Thea von Harbou"
Guy Ritchie,652,"Jason Statham,Brad Pitt,Benicio Del Toro",Snatch,Guy Ritchie
Stanley Kubrick,303,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",Full Metal Jacket,"Stanley Kubrick,Michael Herr"
Gus Van Sant,451,"Robin Williams,Matt Damon,Ben Affleck",Good Will Hunting,"Matt Damon,Ben Affleck"
John Lasseter,390,"Tom Hanks,Tim Allen,Don Rickles",Toy Story,"John Lasseter,Pete Docter"
Lee Unkrich,726,"Tom Hanks,Tim Allen,Joan Cusack",Toy Story 3,"John Lasseter,Andrew Stanton"
Stanley Kubrick,141,"Keir Dullea,Gary Lockwood,William Sylvester",2001: A Space Odyssey,"Stanley Kubrick,Arthur C. Clarke"
"Quentin Tarantino,Eli Roth",178,"Brad Pitt,Diane Kruger,Eli Roth",Inglourious Basterds,Quentin Tarantino
Rajkumar Hirani,"1,326","Aamir Khan,Madhavan,Mona Singh",3 Idiots,"Rajkumar Hirani,Abhijat Joshi"
Stanley Kubrick,395,"Malcolm McDowell,Patrick Magee,Michael Bates",A Clockwork Orange,"Stanley Kubrick,Anthony Burgess"
David Lean,"1,271","Peter O'Toole,Alec Guinness,Anthony Quinn",Lawrence of Arabia,"T.E. Lawrence,Robert Bolt"
Jean-Pierre Jeunet,"1,016","Audrey Tautou,Mathieu Kassovitz,Rufus",Amélie,"Guillaume Laurant,Jean-Pierre Jeunet"
Fritz Lang,,"Peter Lorre,Ellen Widmann,Inge Landgut",M,"Thea von Harbou,Fritz Lang"
Michel Gondry,403,"Jim Carrey,Kate Winslet,Tom Wilkinson",Eternal Sunshine of the Spotless Mind,"Charlie Kaufman,Michel Gondry"
"Aamir Khan,Amole Gupte",,"Darsheel Safary,Aamir Khan,Tanay Chheda",Like Stars on Earth,"Amole Gupte,Amole Gupte"
Makoto Shinkai,504,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",Your Name,"Makoto Shinkai,Makoto Shinkai"
Quentin Tarantino,730,"Harvey Keitel,Tim Roth,Michael Madsen",Reservoir Dogs,"Quentin Tarantino,Quentin Tarantino"
Nitesh Tiwari,,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Dangal,"Piyush Gupta,Shreyas Jain"
Orson Welles,"1,306","Orson Welles,Joseph Cotten,Dorothy Comingore",Citizen Kane,"Herman J. Mankiewicz,Orson Welles"
Sam Mendes,454,"Kevin Spacey,Annette Bening,Thora Birch",American Beauty,Alan Ball
Richard Marquand,347,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode VI - Return of the Jedi,"Lawrence Kasdan,George Lucas"
Wolfgang Petersen,"2,117","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",Das Boot,"Wolfgang Petersen,Lothar G. Buchheim"
Andrew Stanton,878,"Ben Burtt,Elissa Knight,Jeff Garlin",WALL·E,"Andrew Stanton,Pete Docter"
Billy Wilder,,"Tyrone Power,Marlene Dietrich,Charles Laughton",Witness for the Prosecution,"Agatha Christie,Billy Wilder"
Quentin Tarantino,280,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",Django Unchained,Quentin Tarantino
"Lee Unkrich,Adrian Molina","23
        ","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",Coco,"Lee Unkrich,Jason Katz"
Stanley Kubrick,132,"Jack Nicholson,Shelley Duvall,Danny Lloyd",The Shining,"Stephen King,Stanley Kubrick"
Florian Henckel von Donnersmarck,"1,055","Ulrich Mühe,Martina Gedeck,Sebastian Koch",The Lives of Others,Florian Henckel von Donnersmarck
Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Jack Oakie",The Great Dictator,Charles Chaplin
Ridley Scott,394,"Sigourney Weaver,Tom Skerritt,John Hurt",Alien,"Dan O'Bannon,Ronald Shusett"
Isao Takahata,,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",Grave of the Fireflies,"Akiyuki Nosaka,Isao Takahata"
Billy Wilder,,"William Holden,Gloria Swanson,Erich von Stroheim",Sunset Boulevard,"Charles Brackett,Billy Wilder"
Christopher Nolan,554,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",Memento,"Christopher Nolan,Jonathan Nolan"
Francis Ford Coppola,377,"Martin Sheen,Marlon Brando,Robert Duvall",Apocalypse Now,"John Milius,Francis Ford Coppola"
Giuseppe Tornatore,"2,063","Philippe Noiret,Enzo Cannavale,Antonella Attili",Cinema Paradiso,"Giuseppe Tornatore,Giuseppe Tornatore"
Ridley Scott,274,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",Gladiator,"David Franzoni,David Franzoni"
"Roger Allers,Rob Minkoff",197,"Matthew Broderick,Jeremy Irons,James Earl Jones",The Lion King,"Irene Mecchi,Jonathan Roberts"
Christopher Nolan,302,"Christian Bale,Hugh Jackman,Scarlett Johansson",The Prestige,"Jonathan Nolan,Christopher Nolan"
Roman Polanski,931,"Adrien Brody,Thomas Kretschmann,Frank Finlay",The Pianist,"Ronald Harwood,Wladyslaw Szpilman"
Damien Chazelle,295,"Miles Teller,J.K. Simmons,Melissa Benoist",Whiplash,Damien Chazelle
Michael Curtiz,895,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",Casablanca,"Julius J. Epstein,Philip G. Epstein"
Charles Chaplin,"3,849","Charles Chaplin,Paulette Goddard,Henry Bergman",Modern Times,Charles Chaplin
Sergio Leone,"1,202","Henry Fonda,Charles Bronson,Claudia Cardinale",Once Upon a Time in the West,"Sergio Donati,Sergio Leone"
Alfred Hitchcock,385,"Anthony Perkins,Janet Leigh,Vera Miles",Psycho,"Joseph Stefano,Robert Bloch"
Frank Darabont,121,"Tom Hanks,Michael Clarke Duncan,David Morse",The Green Mile,"Stephen King,Frank Darabont"
Christopher Nolan,144,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",Interstellar,"Jonathan Nolan,Christopher Nolan"
Tony Kaye,579,"Edward Norton,Edward Furlong,Beverly D'Angelo",American History X,David McKenna
Steven Spielberg,247,"Tom Hanks,Matt Damon,Tom Sizemore",Saving Private Ryan,Robert Rodat
Luc Besson,227,"Jean Reno,Gary Oldman,Natalie Portman",Léon: The Professional,Luc Besson
"Hayao Miyazaki,Kirk Wise",444,"Daveigh Chase,Suzanne Pleshette,Miyu Irino",Spirited Away,Hayao Miyazaki
Bryan Singer,492,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",The Usual Suspects,Christopher McQuarrie
Frank Capra,"1,728","James Stewart,Donna Reed,Lionel Barrymore",It's a Wonderful Life,"Frances Goodrich,Albert Hackett"
"Fernando Meirelles,Kátia Lund",624,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",City of God,"Paulo Lins,Bráulio Mantovani"
David Fincher,163,"Morgan Freeman,Brad Pitt,Kevin Spacey",Se7en,Andrew Kevin Walker
Roberto Benigni,605,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Life Is Beautiful,"Vincenzo Cerami,Roberto Benigni"
Jonathan Demme,228,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",The Silence of the Lambs,"Thomas Harris,Ted Tally"
"Lana Wachowski,Lilly Wachowski",262,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",The Matrix,"Lilly Wachowski,Lana Wachowski"
Martin Scorsese,253,"Robert De Niro,Ray Liotta,Joe Pesci",Goodfellas,"Nicholas Pileggi,Nicholas Pileggi"
Akira Kurosawa,"1,103","Toshirô Mifune,Takashi Shimura,Keiko Tsushima",Seven Samurai,"Akira Kurosawa,Shinobu Hashimoto"
George Lucas,211,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode IV - A New Hope,George Lucas
